station,name,rows,cols,lat,lon
99999994082,DINOSAUR 2 E- CO US,2604,4017,40.2446,251.03230000000002
02013099999,RITSEM- SW,3154,279,67.7333333,17.4666666
71113099999,AGASSIZ CS- CA,2784,3812,49.25,238.2333334
02942099999,KANKAANPAA NIINISALO PUOLVOIM- FI,3036,359,61.8333333,22.4666666
01427099999,LISTA FYR- NO,2962,105,58.1166666,6.5666666
17150099999,BALIKESIR- TU,2592,447,39.619258,27.925958
70367025322,GUSTAVUS- AK US,2968,3589,58.4111,224.2911
47615099999,UTSUNOMIYA- JA,2530,2238,36.55,139.8666666
80342099999,ANTONIO NARINO- CO,1827,4523,1.392844,282.709178
29405099999,KYSTOVKA- RS,2931,1225,56.6,76.5666666
99816799999,KACHEMAK BAY RESERVE- AK US,2991,3337,59.6,208.5833334
02468099999,STORA SPANSBERGET- SW,3007,242,60.3833333,15.1333333
71860099999,SPRINGBANK A- CA,2821,3930,51.1,245.6333334
72372323184,PRESCOTT LOVE FIELD- AZ US,2492,3961,34.64915,247.57765999999998
72763024012,DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT- ND US,2735,4115,46.79968,257.20285
72764524012,DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT- ND US,2735,4115,46.79968,257.20285
71878099999,RED DEER REGIONAL- CA,2843,3938,52.1833333,246.1
72438093819,INDIANAPOLIS INTERNATIONAL AIRPORT- IN US,2594,4379,39.72515,273.7184
16232099999,TERMOLI- IT,2639,240,42.0,15.0
01046099999,SORKJOSEN- NO,3195,335,69.786839,20.959444
48426099999,LOP BURI- TH,2095,1610,14.8,100.6166666
72314303720,MOORE CO AIRPORT- NC US,2504,4490,35.23722,280.60889
68572099999,SHALEBURN- SF,1203,470,-29.8,29.35
83748099999,CAMPO DELIO JARDIM DE MATTOS- BR,1342,5066,-22.875083,316.615292
74465953822,OLNEY NOBLE AIRPORT- IL US,2574,4349,38.72167,271.82361000000003
23471099999,NIZHNEVARTOVSK- RS,3018,1224,60.949272,76.483617
94329099999,URANDANGI- AS,1367,2213,-21.6,138.3
85123099999,SANTA ANA DEL YACUMA- BL,1524,4713,-13.762208,294.564842
25705099999,SREDNIKAN- RS,3048,2437,62.45,152.3166666
89014099999,NORDENSKIOLD BASE- AY,338,5546,-73.05,346.6166667
72401693736,CHARLOTTESVILLE ALBEMARLE AIRPORT- VA US,2562,4505,38.1374,281.54487
63682099999,JINJA- UG,1808,531,0.45,33.1833333
95957099999,WYNYARD AIRPORT- AS,979,2332,-41.0,145.7333333
78719099999,LA ESPERANZA- HO,2086,4349,14.3333333,271.8333333
11816099999,M R STEFANIK- LO,2763,275,48.170167,17.212667
03797035047,MANSTON- ENG UK,2826,22,51.342222,1.346111
15020099999,BOTOSANI- RO,2754,426,47.7333333,26.65
72061200203,BEAUFORT CO AIRPORT- SC US,2448,4470,32.4121,279.3657
74718603164,CAMPO ASOS- CA US,2452,3897,32.6261,243.5319
57853099999,WUGANG- CH,2334,1770,26.7333333,110.6333333
30862099999,SHILKA- RS,2837,1857,51.8666666,116.0333333
71483099999,FORT ASSINIBOINE AGCM- CA,2887,3924,54.4,245.2333334
59023099999,HECHI- CH,2293,1729,24.7,108.05
03243399999,NEWCASTLE- UK,2900,5733,55.0375,358.308333
61970099999,ILE JUAN DE NOVA- JU,1458,683,-17.05,42.7166666
02965099999,LAHTI LAUNE- FI,3019,410,60.9666666,25.6333333
72273003124,FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT- AZ US,2431,3994,31.58833,249.65582999999998
95527099999,MOREE AERO- AS,1210,2398,-29.4914,149.8458
30627099999,BAJANDAJ- RS,2861,1689,53.1,105.5333333
06990099999,VADUZ- LS,2742,152,47.1333333,9.5166666
99823599999,NIAGRA INTAKE- NY US,2661,4496,43.0666666,280.9833334
72419003889,JACKSON JULIAN CARROLL AIRPORT- KY US,2551,4427,37.591335,276.686304
56167099999,DAWU- CH,2419,1618,30.9833333,101.1166666
43369099999,MINICOY- IN,1965,1170,8.3,73.15
38457499999,DASHOGUZ- TX,2635,957,41.761111,59.826667
07641099999,SETE- FR,2667,59,43.4,3.7
11170099999,LUNZ- AU,2756,241,47.85,15.0666666
95833099999,KYABRAM INST SUSTAINABLE AG- AS,1073,2321,-36.3333333,145.0666666
72039300129,HEREFORD MUNICIPAL AIRPORT- TX US,2496,4123,34.85,257.66700000000003
60135099999,SALE- MO,2481,5652,34.051467,353.248481
91066022701,MIDWAY ISLAND HENDERSON FIELD AIRPORT- UM MQ,2363,2922,28.2,182.61667
95874099999,VIEWBANK ARPNSA- AS,1045,2322,-37.7333333,145.1
34798099999,GANJUSHKINO- KZ,2731,788,46.6,49.2666666
97406099999,GALELA GAMARMALAMU- ID,1836,2045,1.8166667,127.8333333
94450099999,LEONORA AERO- AS,1222,1941,-28.8833333,121.3166666
70203526704,SAVOONGA- AK US,3073,3032,63.68667,189.50667
